school;region;klados ;deksiothta;importance;Επάρκεια;Αναντισττοιχία
ΓΕΛ;Βόρειο Αιγαίο;Τέχνες, διασκέδαση και ψυχαγωγία;Χειρισμός αλληλογραφίας;5;10;-5
ΓΕΛ;Βόρειο Αιγαίο;Τέχνες, διασκέδαση και ψυχαγωγία;Συντήρηση συστημάτων ελέγχου αποθεμάτων;5;10;-5
ΓΕΛ;Βόρειο Αιγαίο;Τέχνες, διασκέδαση και ψυχαγωγία;Παραγγελίες προμηθειών;5;10;-5
ΓΕΛ;Βόρειο Αιγαίο;Τέχνες, διασκέδαση και ψυχαγωγία;Καταχώριση εγγράφων;5;10;-5
ΓΕΛ;Βόρειο Αιγαίο;Τέχνες, διασκέδαση και ψυχαγωγία;Εποπτεία του ελέγχου ποιότητας αποθεμάτων;5;10;-5
ΓΕΛ;Βόρειο Αιγαίο;Τέχνες, διασκέδαση και ψυχαγωγία;Επικοινωνία με πελάτες;5;10;-5
ΓΕΛ;Βόρειο Αιγαίο;Τέχνες, διασκέδαση και ψυχαγωγία;Εντοπισμός αναγκών πελάτη;5;10;-5
ΓΕΛ;Βόρειο Αιγαίο;Τέχνες, διασκέδαση και ψυχαγωγία;Διαχείριση παραπόνων πελατών;5;10;-5
ΓΕΛ;Βόρειο Αιγαίο;Τέχνες, διασκέδαση και ψυχαγωγία;Διασφάλιση ορθής διαχείρισης εγγράφων;5;10;-5
ΓΕΛ;Βόρειο Αιγαίο;Τέχνες, διασκέδαση και ψυχαγωγία;Έλεγχος δαπανών;5;10;-5
ΓΕΛ;Βόρειο Αιγαίο;Τέχνες, διασκέδαση και ψυχαγωγία;Έκδοση τιμολογίων πώλησης;5;10;-5
ΓΕΛ;Βόρειο Αιγαίο;Τέχνες, διασκέδαση και ψυχαγωγία;Χρήση λογισμικού για τη διατήρηση δεδομένων;4,5;9;-4,5
ΓΕΛ;Βόρειο Αιγαίο;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Επικοινωνία με πελάτες;9,75;7,89;1,86
ΓΕΛ;Βόρειο Αιγαίο;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Εντοπισμός αναγκών πελάτη;9,26;7,51;1,75
ΓΕΛ;Βόρειο Αιγαίο;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Εποπτεία του ελέγχου ποιότητας αποθεμάτων;9,06;7,71;1,35
ΓΕΛ;Βόρειο Αιγαίο;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Χειρισμός συστημάτων καταγραφής προϊόντων αποθήκης;8,97;7,71;1,26
ΓΕΛ;Βόρειο Αιγαίο;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Κατοχή ψηφιακών δεξιοτήτων;8,96;7,8;1,16
ΓΕΛ;Βόρειο Αιγαίο;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Χρήση λογισμικού για τη διατήρηση δεδομένων;8,88;7,81;1,07
ΓΕΛ;Βόρειο Αιγαίο;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Παρακολούθηση ύψους αποθεμάτων;8,87;7,63;1,24
ΓΕΛ;Βόρειο Αιγαίο;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Σύνταξη εταιρικών μηνυμάτων ηλεκτρονικού ταχυδρομείου;8,84;8,06;0,78
ΓΕΛ;Βόρειο Αιγαίο;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Καταχώριση εγγράφων;8,82;7,7;1,12
ΓΕΛ;Βόρειο Αιγαίο;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Χρήση διαφορετικών διαύλων επικοινωνίας;8,8;7,44;1,36
ΓΕΛ;Βόρειο Αιγαίο;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Διαχείριση καταλόγου απογραφής αποθήκης;8,76;7,47;1,29
ΓΕΛ;Βόρειο Αιγαίο;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Διαχείριση παραπόνων πελατών;8,74;7,07;1,67
ΓΕΛ;Βόρειο Αιγαίο;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Διασφάλιση ορθής διαχείρισης εγγράφων;8,71;7,5;1,21
ΓΕΛ;Βόρειο Αιγαίο;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Χρήση συστημάτων γραφείου;8,62;7,74;0,88
ΓΕΛ;Βόρειο Αιγαίο;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Συντήρηση συστημάτων ελέγχου αποθεμάτων;8,62;7,24;1,38
ΓΕΛ;Βόρειο Αιγαίο;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Οργάνωση επιχειρηματικών εγγράφων;8,56;7,7;0,86
ΓΕΛ;Βόρειο Αιγαίο;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Έκδοση τιμολογίων πώλησης;8,55;7,24;1,31
ΓΕΛ;Βόρειο Αιγαίο;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Παραγγελίες προμηθειών;8,5;7,28;1,22
ΓΕΛ;Βόρειο Αιγαίο;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Ψηφιοποίηση εγγράφων;8,5;7,81;0,69
ΓΕΛ;Βόρειο Αιγαίο;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Χειρισμός αλληλογραφίας;8,45;7,72;0,73
ΓΕΛ;Βόρειο Αιγαίο;Χονδρικό και λιανικό εμπόριο, επισκευή μηχανοκίνητων οχημάτων και μοτοσυκλετών;Έλεγχος δαπανών;7,76;6,73;1,03
ΓΕΛ;Βόρειο Αιγαίο;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Χρήση συστημάτων γραφείου;10;10;0
ΓΕΛ;Βόρειο Αιγαίο;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Χρήση λογισμικού για τη διατήρηση δεδομένων;10;10;0
ΓΕΛ;Βόρειο Αιγαίο;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Χρήση διαφορετικών διαύλων επικοινωνίας;10;10;0
ΓΕΛ;Βόρειο Αιγαίο;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Χειρισμός αλληλογραφίας;10;10;0
ΓΕΛ;Βόρειο Αιγαίο;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Σύνταξη εταιρικών μηνυμάτων ηλεκτρονικού ταχυδρομείου;10;10;0
ΓΕΛ;Βόρειο Αιγαίο;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Οργάνωση επιχειρηματικών εγγράφων;10;10;0
ΓΕΛ;Βόρειο Αιγαίο;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Καταχώριση εγγράφων;10;10;0
ΓΕΛ;Βόρειο Αιγαίο;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Επικοινωνία με πελάτες;10;10;0
ΓΕΛ;Βόρειο Αιγαίο;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Εντοπισμός αναγκών πελάτη;10;10;0
ΓΕΛ;Βόρειο Αιγαίο;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Διαχείριση παραπόνων πελατών;10;10;0
ΓΕΛ;Βόρειο Αιγαίο;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Ψηφιοποίηση εγγράφων;;;0
ΓΕΛ;Βόρειο Αιγαίο;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Χειρισμός συστημάτων καταγραφής προϊόντων αποθήκης;;;0
ΓΕΛ;Βόρειο Αιγαίο;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Συντήρηση συστημάτων ελέγχου αποθεμάτων;;;0
ΓΕΛ;Βόρειο Αιγαίο;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Παρακολούθηση ύψους αποθεμάτων;;;0
ΓΕΛ;Βόρειο Αιγαίο;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Παραγγελίες προμηθειών;;;0
ΓΕΛ;Βόρειο Αιγαίο;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Κατοχή ψηφιακών δεξιοτήτων;;;0
ΓΕΛ;Βόρειο Αιγαίο;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Εποπτεία του ελέγχου ποιότητας αποθεμάτων;;;0
ΓΕΛ;Βόρειο Αιγαίο;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Διαχείριση καταλόγου απογραφής αποθήκης;;;0
ΓΕΛ;Βόρειο Αιγαίο;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Διασφάλιση ορθής διαχείρισης εγγράφων;;;0
ΓΕΛ;Βόρειο Αιγαίο;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Έλεγχος δαπανών;;;0
ΓΕΛ;Βόρειο Αιγαίο;Χρηματοπιστωτικές και ασφαλιστικές δραστηριότητες;Έκδοση τιμολογίων πώλησης;;;0
ΓΕΛ;Βόρειο Αιγαίο;Χωρίς δραστηριότητα;Επικοινωνία με πελάτες;8,8;6,67;2,13
ΓΕΛ;Βόρειο Αιγαίο;Χωρίς δραστηριότητα;Κατοχή ψηφιακών δεξιοτήτων;8,33;7,25;1,08
ΓΕΛ;Βόρειο Αιγαίο;Χωρίς δραστηριότητα;Εντοπισμός αναγκών πελάτη;8,11;6,5;1,61
ΓΕΛ;Βόρειο Αιγαίο;Χωρίς δραστηριότητα;Διαχείριση παραπόνων πελατών;7,88;6,75;1,13
ΓΕΛ;Βόρειο Αιγαίο;Χωρίς δραστηριότητα;Παρακολούθηση ύψους αποθεμάτων;7,13;7,43;-0,3
ΓΕΛ;Βόρειο Αιγαίο;Χωρίς δραστηριότητα;Χρήση διαφορετικών διαύλων επικοινωνίας;6,8;6,44;0,36
ΓΕΛ;Βόρειο Αιγαίο;Χωρίς δραστηριότητα;Έλεγχος δαπανών;6,6;6,33;0,27
ΓΕΛ;Βόρειο Αιγαίο;Χωρίς δραστηριότητα;Εποπτεία του ελέγχου ποιότητας αποθεμάτων;6,57;7,17;-0,6
ΓΕΛ;Βόρειο Αιγαίο;Χωρίς δραστηριότητα;Έκδοση τιμολογίων πώλησης;6,56;6,75;-0,19
ΓΕΛ;Βόρειο Αιγαίο;Χωρίς δραστηριότητα;Παραγγελίες προμηθειών;6,5;6,13;0,37
ΓΕΛ;Βόρειο Αιγαίο;Χωρίς δραστηριότητα;Διαχείριση καταλόγου απογραφής αποθήκης;6,43;8;-1,57
ΓΕΛ;Βόρειο Αιγαίο;Χωρίς δραστηριότητα;Χρήση συστημάτων γραφείου;6,33;7,13;-0,8
ΓΕΛ;Βόρειο Αιγαίο;Χωρίς δραστηριότητα;Σύνταξη εταιρικών μηνυμάτων ηλεκτρονικού ταχυδρομείου;6,3;6,33;-0,03
ΓΕΛ;Βόρειο Αιγαίο;Χωρίς δραστηριότητα;Χρήση λογισμικού για τη διατήρηση δεδομένων;6,1;6,11;-0,01
ΓΕΛ;Βόρειο Αιγαίο;Χωρίς δραστηριότητα;Χειρισμός αλληλογραφίας;5,8;6;-0,2
ΓΕΛ;Βόρειο Αιγαίο;Χωρίς δραστηριότητα;Οργάνωση επιχειρηματικών εγγράφων;5,8;6,44;-0,64
ΓΕΛ;Βόρειο Αιγαίο;Χωρίς δραστηριότητα;Συντήρηση συστημάτων ελέγχου αποθεμάτων;5,67;7;-1,33
ΓΕΛ;Βόρειο Αιγαίο;Χωρίς δραστηριότητα;Καταχώριση εγγράφων;5,5;6,56;-1,06
ΓΕΛ;Βόρειο Αιγαίο;Χωρίς δραστηριότητα;Χειρισμός συστημάτων καταγραφής προϊόντων αποθήκης;5;6,33;-1,33
ΓΕΛ;Βόρειο Αιγαίο;Χωρίς δραστηριότητα;Διασφάλιση ορθής διαχείρισης εγγράφων;4,89;5,38;-0,49
ΓΕΛ;Βόρειο Αιγαίο;Χωρίς δραστηριότητα;Ψηφιοποίηση εγγράφων;4,78;6;-1,22
ΓΕΛ;Δυτική Ελλάδα;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Επικοινωνία με πελάτες;9,92;7,9;2,02
ΓΕΛ;Δυτική Ελλάδα;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Παρακολούθηση ύψους αποθεμάτων;9,74;7,95;1,79
ΓΕΛ;Δυτική Ελλάδα;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Εποπτεία του ελέγχου ποιότητας αποθεμάτων;9,58;8,18;1,4
ΓΕΛ;Δυτική Ελλάδα;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Παραγγελίες προμηθειών;9,56;7,72;1,84
ΓΕΛ;Δυτική Ελλάδα;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Διαχείριση παραπόνων πελατών;9,52;8,19;1,33
ΓΕΛ;Δυτική Ελλάδα;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Οργάνωση επιχειρηματικών εγγράφων;9,38;7,83;1,55
ΓΕΛ;Δυτική Ελλάδα;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Εντοπισμός αναγκών πελάτη;9,37;8,07;1,3
ΓΕΛ;Δυτική Ελλάδα;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Διασφάλιση ορθής διαχείρισης εγγράφων;9,34;7,34;2
ΓΕΛ;Δυτική Ελλάδα;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Κατοχή ψηφιακών δεξιοτήτων;9,34;8,03;1,31
ΓΕΛ;Δυτική Ελλάδα;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Συντήρηση συστημάτων ελέγχου αποθεμάτων;9,23;8,14;1,09
ΓΕΛ;Δυτική Ελλάδα;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Έλεγχος δαπανών;9,2;6,93;2,27
ΓΕΛ;Δυτική Ελλάδα;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Χειρισμός συστημάτων καταγραφής προϊόντων αποθήκης;9,12;7,88;1,24
ΓΕΛ;Δυτική Ελλάδα;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Χρήση λογισμικού για τη διατήρηση δεδομένων;9,09;7,34;1,75
ΓΕΛ;Δυτική Ελλάδα;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Χρήση διαφορετικών διαύλων επικοινωνίας;9,09;7,64;1,45
ΓΕΛ;Δυτική Ελλάδα;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Διαχείριση καταλόγου απογραφής αποθήκης;9,03;7,42;1,61
ΓΕΛ;Δυτική Ελλάδα;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Καταχώριση εγγράφων;8,97;7,72;1,25
ΓΕΛ;Δυτική Ελλάδα;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Χρήση συστημάτων γραφείου;8,59;7,48;1,11
ΓΕΛ;Δυτική Ελλάδα;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Ψηφιοποίηση εγγράφων;8,54;7,23;1,31
ΓΕΛ;Δυτική Ελλάδα;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Έκδοση τιμολογίων πώλησης;8,5;6,38;2,12
ΓΕΛ;Δυτική Ελλάδα;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Σύνταξη εταιρικών μηνυμάτων ηλεκτρονικού ταχυδρομείου;8,43;7,2;1,23
ΓΕΛ;Δυτική Ελλάδα;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Χειρισμός αλληλογραφίας;7;6,21;0,79
ΓΕΛ;Δυτική Ελλάδα;Άλλες δραστηριότητες παροχής υπηρεσιών;Επικοινωνία με πελάτες;9,84;8,16;1,68
ΓΕΛ;Δυτική Ελλάδα;Άλλες δραστηριότητες παροχής υπηρεσιών;Διαχείριση παραπόνων πελατών;9,69;8,06;1,63
ΓΕΛ;Δυτική Ελλάδα;Άλλες δραστηριότητες παροχής υπηρεσιών;Εντοπισμός αναγκών πελάτη;9,55;8,16;1,39
ΓΕΛ;Δυτική Ελλάδα;Άλλες δραστηριότητες παροχής υπηρεσιών;Παρακολούθηση ύψους αποθεμάτων;9,53;7,81;1,72
ΓΕΛ;Δυτική Ελλάδα;Άλλες δραστηριότητες παροχής υπηρεσιών;Εποπτεία του ελέγχου ποιότητας αποθεμάτων;9,46;8,08;1,38
ΓΕΛ;Δυτική Ελλάδα;Άλλες δραστηριότητες παροχής υπηρεσιών;Έλεγχος δαπανών;9,32;6,3;3,02
ΓΕΛ;Δυτική Ελλάδα;Άλλες δραστηριότητες παροχής υπηρεσιών;Διασφάλιση ορθής διαχείρισης εγγράφων;9,28;7,57;1,71
ΓΕΛ;Δυτική Ελλάδα;Άλλες δραστηριότητες παροχής υπηρεσιών;Συντήρηση συστημάτων ελέγχου αποθεμάτων;9,24;8,29;0,95
ΓΕΛ;Δυτική Ελλάδα;Άλλες δραστηριότητες παροχής υπηρεσιών;Παραγγελίες προμηθειών;9,19;7,5;1,69
ΓΕΛ;Δυτική Ελλάδα;Άλλες δραστηριότητες παροχής υπηρεσιών;Οργάνωση επιχειρηματικών εγγράφων;9,13;8,1;1,03
ΓΕΛ;Δυτική Ελλάδα;Άλλες δραστηριότητες παροχής υπηρεσιών;Καταχώριση εγγράφων;9,03;7,9;1,13
ΓΕΛ;Δυτική Ελλάδα;Άλλες δραστηριότητες παροχής υπηρεσιών;Χρήση διαφορετικών διαύλων επικοινωνίας;9;7,83;1,17
ΓΕΛ;Δυτική Ελλάδα;Άλλες δραστηριότητες παροχής υπηρεσιών;Κατοχή ψηφιακών δεξιοτήτων;9;8,15;0,85
ΓΕΛ;Δυτική Ελλάδα;Άλλες δραστηριότητες παροχής υπηρεσιών;Διαχείριση καταλόγου απογραφής αποθήκης;8,96;7,74;1,22
ΓΕΛ;Δυτική Ελλάδα;Άλλες δραστηριότητες παροχής υπηρεσιών;Έκδοση τιμολογίων πώλησης;8,94;7,03;1,91
ΓΕΛ;Δυτική Ελλάδα;Άλλες δραστηριότητες παροχής υπηρεσιών;Χρήση λογισμικού για τη διατήρηση δεδομένων;8,9;7,55;1,35
ΓΕΛ;Δυτική Ελλάδα;Άλλες δραστηριότητες παροχής υπηρεσιών;Χρήση συστημάτων γραφείου;8,79;8,18;0,61
ΓΕΛ;Δυτική Ελλάδα;Άλλες δραστηριότητες παροχής υπηρεσιών;Χειρισμός συστημάτων καταγραφής προϊόντων αποθήκης;8,68;7,94;0,74
ΓΕΛ;Δυτική Ελλάδα;Άλλες δραστηριότητες παροχής υπηρεσιών;Σύνταξη εταιρικών μηνυμάτων ηλεκτρονικού ταχυδρομείου;8,29;7,63;0,66
ΓΕΛ;Δυτική Ελλάδα;Άλλες δραστηριότητες παροχής υπηρεσιών;Ψηφιοποίηση εγγράφων;7,5;6,89;0,61
ΓΕΛ;Δυτική Ελλάδα;Άλλες δραστηριότητες παροχής υπηρεσιών;Χειρισμός αλληλογραφίας;7,23;6,63;0,6
ΓΕΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Εποπτεία του ελέγχου ποιότητας αποθεμάτων;10;9;1
ΓΕΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Επικοινωνία με πελάτες;10;8;2
ΓΕΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Εντοπισμός αναγκών πελάτη;10;8;2
ΓΕΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Διαχείριση παραπόνων πελατών;10;8;2
ΓΕΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Χρήση διαφορετικών διαύλων επικοινωνίας;9;8;1
ΓΕΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Παρακολούθηση ύψους αποθεμάτων;9;7;2
ΓΕΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Παραγγελίες προμηθειών;9;7;2
ΓΕΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Διασφάλιση ορθής διαχείρισης εγγράφων;9;6;3
ΓΕΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Χρήση λογισμικού για τη διατήρηση δεδομένων;8;8;0
ΓΕΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Σύνταξη εταιρικών μηνυμάτων ηλεκτρονικού ταχυδρομείου;8;8;0
ΓΕΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Οργάνωση επιχειρηματικών εγγράφων;8;5;3
ΓΕΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Καταχώριση εγγράφων;8;5;3
ΓΕΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Διαχείριση καταλόγου απογραφής αποθήκης;8;8;0
ΓΕΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Έλεγχος δαπανών;8;6;2
ΓΕΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Έκδοση τιμολογίων πώλησης;8;7;1
ΓΕΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Ψηφιοποίηση εγγράφων;7;5;2
ΓΕΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Χρήση συστημάτων γραφείου;7;8;-1
ΓΕΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Χειρισμός αλληλογραφίας;7;8;-1
ΓΕΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Χειρισμός συστημάτων καταγραφής προϊόντων αποθήκης;;;0
ΓΕΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Συντήρηση συστημάτων ελέγχου αποθεμάτων;;;0
ΓΕΛ;Δυτική Ελλάδα;Γεωργία, Δασοκομία και Αλιεία;Κατοχή ψηφιακών δεξιοτήτων;;;0
ΓΕΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Χρήση συστημάτων γραφείου;9,67;7,67;2
ΓΕΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Κατοχή ψηφιακών δεξιοτήτων;9,67;8;1,67
ΓΕΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Χρήση διαφορετικών διαύλων επικοινωνίας;9,33;8,33;1
ΓΕΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Οργάνωση επιχειρηματικών εγγράφων;9,33;7,67;1,66
ΓΕΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Επικοινωνία με πελάτες;9,33;7,67;1,66
ΓΕΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Έλεγχος δαπανών;9,33;7;2,33
ΓΕΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Παρακολούθηση ύψους αποθεμάτων;9;8;1
ΓΕΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Παραγγελίες προμηθειών;9;7,5;1,5
ΓΕΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Καταχώριση εγγράφων;9;7;2
ΓΕΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Εντοπισμός αναγκών πελάτη;9;8,67;0,33
ΓΕΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Διαχείριση παραπόνων πελατών;9;8;1
ΓΕΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Διασφάλιση ορθής διαχείρισης εγγράφων;9;7;2
ΓΕΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Χρήση λογισμικού για τη διατήρηση δεδομένων;8,67;8;0,67
ΓΕΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Χειρισμός αλληλογραφίας;8,67;7,67;1
ΓΕΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Σύνταξη εταιρικών μηνυμάτων ηλεκτρονικού ταχυδρομείου;8,67;7,67;1
ΓΕΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Χειρισμός συστημάτων καταγραφής προϊόντων αποθήκης;8,5;8,5;0
ΓΕΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Συντήρηση συστημάτων ελέγχου αποθεμάτων;8,5;7,5;1
ΓΕΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Διαχείριση καταλόγου απογραφής αποθήκης;8,5;7,5;1
ΓΕΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Έκδοση τιμολογίων πώλησης;8,5;7,5;1
ΓΕΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Ψηφιοποίηση εγγράφων;8;7,33;0,67
ΓΕΛ;Δυτική Ελλάδα;Διαχείριση ακίνητης περιουσίας;Εποπτεία του ελέγχου ποιότητας αποθεμάτων;8;7,5;0,5
ΓΕΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Εντοπισμός αναγκών πελάτη;9,67;8,17;1,5
ΓΕΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Διαχείριση παραπόνων πελατών;9,67;8,17;1,5
ΓΕΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Κατοχή ψηφιακών δεξιοτήτων;9,5;8,33;1,17
ΓΕΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Διασφάλιση ορθής διαχείρισης εγγράφων;9,5;8,33;1,17
ΓΕΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Σύνταξη εταιρικών μηνυμάτων ηλεκτρονικού ταχυδρομείου;9,14;8,33;0,81
ΓΕΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Χρήση συστημάτων γραφείου;9;8,2;0,8
ΓΕΛ;Δυτική Ελλάδα;Διοικητικές και υποστηρικτικές δραστηριότητες;Επικοινωνία με πελάτες;9;7,86;1,14
